Facility ID,Record ID,Serial Number,Service Desc.,PE,PE Desc,Category,Description,County,Agency,ProgramIdentifier,SiteAddress,City,St,Zip,GISLatitude,GISLongitude,ActivityDate,FC01,FC02,FC03,FC04,FC05,FC06,FC07,FC08,FC09,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,TotalFoodborneViolations,FC30,FC31,FC32,FC33,FC34,FC35,FC36,FC37,FC38,FC39,FC40,FC41,FC42,FC43,FC44,FC45,FC46,FC47,FC48,FC49,FC50,FC51,FC52,FC53,FC54,FC55,FC56,TotalRetailViolations
FA0009996,PR0011864,DAYR2RKBT,"Inspection, Routine","1,045",Restaurant (101 - 200 seats),Med Risk (3),Food - Restaurants,Arapahoe,Tri-County Health Department,Pisco Sour,14050 E Evans Ave,Aurora,CO,80014-1449,39.678723,-104.826084,1/31/2019,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4
FA0011070,PR0012733,DANHOPAEL,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Low Risk (2),Food - Restaurants,Arapahoe,Tri-County Health Department,Starbucks Coffee,410 S Colorado Blvd,Glendale,CO,80246-1207,39.70898467,-104.9399,1/30/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
FA0010971,PR0012573,DAFZVKMMB,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Low Risk (2),Food - Restaurants,Arapahoe,Tri-County Health Department,Glazed and Confuzed Donuts,4660 S Yosemite St,Greenwood Village,CO,80111-1227,39.63258333,-104.8846,11/4/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0008454,PR0011453,DAA6ICOWD,"Inspection, Routine","1,045",Restaurant (101 - 200 seats),Med Risk (3),Food - Restaurants,Arapahoe,Tri-County Health Department,Las Fajitas Mexican Restaurant,7450 S Gartrell Rd Unit B7,Aurora,CO,80016,39.581195,-104.7248,2/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FA0003507,PR0010770,DATCQ0VC0,"Inspection, Routine","1,025",Restaurant (0 - 100 seats),Med Risk (3),Food - Restaurants,Douglas,Tri-County Health Department,Zaika Indian,78 E Allen St Ste 108,Castle Rock,CO,80108,39.41241968,-104.8618,11/13/2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,7
FA0010794,PR0012294,DAPVP0EVJ,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Low Risk (2),Food - Grocery,Arapahoe,Tri-County Health Department,Small Cakes Cupcakery,5616 S Gibraltar Way Unit H,Centennial,CO,80015-5365,39.61425,-104.7562,7/2/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
FA0009996,PR0011864,DAK7PEH1S,"Inspection, Routine","1,045",Restaurant (101 - 200 seats),Med Risk (3),Food - Restaurants,Arapahoe,Tri-County Health Department,Pisco Sour,14050 E Evans Ave,Aurora,CO,80014-1449,39.678723,-104.826084,9/4/2019,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,5
FA0008454,PR0011453,DAYUAVERU,"Inspection, Routine","1,045",Restaurant (101 - 200 seats),Med Risk (3),Food - Restaurants,Arapahoe,Tri-County Health Department,Las Fajitas Mexican Restaurant,7450 S Gartrell Rd Unit B7,Aurora,CO,80016,39.581195,-104.7248,2/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0002354,PR0012095,DA0JU6EXD,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Very Low Risk (1),Food - Grocery,Arapahoe,Tri-County Health Department,Sunshine Gas Station,3298 S Broadway,Englewood,CO,80113-2426,39.65719,-104.9872,4/10/2019,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0005314,PR0001964,DA4PUIEGY,"Inspection, Routine","1,025",Restaurant (0 - 100 seats),Med Risk (3),Food - Restaurants,Douglas,Tri-County Health Department,Sodexo at Liberty Media,12300 Liberty Blvd,Englewood,CO,80112,39.55248,-104.8468,2/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0010900,PR0012457,DALT2EWW0,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Very Low Risk (1),Food - Restaurants,Arapahoe,Tri-County Health Department,Chuze Fitness - Englewood,200 W Belleview Ave,Englewood,CO,80110-6610,39.62294,-104.9902,10/18/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
FA0010267,PR0011462,DA0GJEYHY,"Inspection, Routine","1,045",Restaurant (101 - 200 seats),Med Risk (3),Food - Restaurants,Douglas,Tri-County Health Department,Shake Shack,1509 Park Central Dr Ste 100,Highlands Ranch,CO,80129,39.554694,-105.007636,11/5/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FA0000818,PR0000822,DACQLEJZE,"Inspection, Routine","1,025",Restaurant (0 - 100 seats),Low Risk (2),Food - Restaurants,Arapahoe,Tri-County Health Department,Blackjack Pizza,9625 E Arapahoe Rd,Englewood,CO,80112,39.595147,-104.8768,2/26/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0007938,PR0007714,DAB6SVHA0,"Inspection, Routine","1,045",Restaurant (101 - 200 seats),Med Risk (3),Food - Restaurants,Douglas,Tri-County Health Department,FuNuGyz,17904 Cottonwood Dr,Parker,CO,80134,39.558064,-104.7808,2/26/2020,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,5
FA0007216,PR0012067,DAPQZIO7L,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Very Low Risk (1),Food - Restaurants,Arapahoe,Tri-County Health Department,Fracos,5302 S Federal Cir Unit A,Littleton,CO,80123,39.619875,-105.028,8/2/2019,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,5
FA0011106,PR0012807,DAFUTG3NR,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Low Risk (2),Food - Restaurants,Douglas,Tri-County Health Department,Springhill Suites Denver Parker,9355 Silverado Dr,Parker,CO,80134-6067,,,1/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0001223,PR0012598,DAPIYZ01R,"Inspection, First Operational","1,007","Limited Food Service (convenience, other)",Very Low Risk (1),Food - Grocery,Arapahoe,Tri-County Health Department,7 Star Food Mart,4690 S Yosemite St Unit B,Greenwood Village,CO,80111-1200,39.631768,-104.8846,9/26/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0005837,PR0004724,DAMK4JKSS,"Inspection, Routine","1,045",Restaurant (101 - 200 seats),Med Risk (3),Food - Restaurants,Arapahoe,Tri-County Health Department,Tokyo Joes,6380 S Fiddlers Green Cir Unit 108B,Greenwood Village,CO,80111,39.600566,-104.89,2/28/2020,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FA0003507,PR0010770,DA0QCX0QQ,"Inspection, Routine","1,025",Restaurant (0 - 100 seats),Med Risk (3),Food - Restaurants,Douglas,Tri-County Health Department,Zaika Indian,78 E Allen St Ste 108,Castle Rock,CO,80108,39.41241968,-104.8618,1/22/2019,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,10
FA0010424,PR0011698,DAVE5PRZP,"Inspection, Routine","1,225","Grocery Store w/ Deli (0 - 15,000 sq. ft.)",Med Risk (3),Food - Grocery,Arapahoe,Tri-County Health Department,Compark Convenience,15305 Compark Blvd,Parker,CO,80112,,,2/28/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
FA0008455,PR0008502,DAA05CGLU,"Inspection, Routine","1,025",Restaurant (0 - 100 seats),Med Risk (3),Food - Restaurants,Arapahoe,Tri-County Health Department,My Salad Chop,12201 E Arapahoe Rd Unit A1,Centennial,CO,80112,39.595076,-104.8467,2/26/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FA0009020,PR0012310,DABGQSH0E,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Very Low Risk (1),Food - Grocery,Arapahoe,Tri-County Health Department,Alley The,2420 W Main St Ste 110,Littleton,CO,80120-1938,39.61345,-105.0165,5/29/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0011262,PR0013095,DA2ZV5TRY,"Inspection, Routine","1,085","Grocery Store (0 - 15,000 sq. ft.)",Very Low Risk (1),Food - Grocery,Douglas,Tri-County Health Department,Crystal Valley Convenience Store,484 Crystal Valley Rd Unit 102,Castle Rock,CO,80104,,,8/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0010749,PR0012227,DA80WQZUW,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Low Risk (2),Food - Restaurants,Arapahoe,Tri-County Health Department,Social Bar and Lounge,3625 W Bowles Ave Unit 9,Littleton,CO,80123-2899,39.610379,-105.0362,6/3/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0011086,PR0012772,DA85Y1FLD,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Very Low Risk (1),Food - Restaurants,Arapahoe,Tri-County Health Department,Primal Axe House,3545 S Platte River Dr Unit M1,Sheridan,CO,80110-3308,39.652547,-105.0115,1/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FA0010809,PR0012321,DABZR7WK0,"Inspection, Routine","1,005","No fee license (K-12 schools, non-profit)",Med Risk (3),Food - Institutions,Adams,Tri-County Health Department,Adams County Head Start Kitchen,11860 Pecos St,Denver,CO,80234-2740,39.911133,-105.0035,5/6/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
FA0011182,PR0012954,DAL1P1MQZ,"Inspection, Routine","1,225","Grocery Store w/ Deli (0 - 15,000 sq. ft.)",Med Risk (3),Food - Grocery,Douglas,Tri-County Health Department,Hissho Sushi at Target 2023,10001 Commons St,Lone Tree,CO,80124,39.535054,-104.8843,2/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0000057,PR0012072,DAC82LD3I,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Very Low Risk (1),Food - Grocery,Arapahoe,Tri-County Health Department,SM Marts LLC,250 E Dry Creek Rd Unit 201,Littleton,CO,80122,39.580577,-104.9853,9/26/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FA0001223,PR0012598,DA04MGKT1,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Very Low Risk (1),Food - Grocery,Arapahoe,Tri-County Health Department,7 Star Food Mart,4690 S Yosemite St Unit B,Greenwood Village,CO,80111-1200,39.631768,-104.8846,1/13/2020,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0011046,PR0012690,DA2RETRBZ,"Inspection, Routine","1,065",Restaurant (>200 seats),Med Risk (3),Food - Restaurants,Arapahoe,Tri-County Health Department,Real de Minas III,15795 E Briarwood Cir,Aurora,CO,80016-1562,39.5936,-104.8034,2/28/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0003284,PR0012849,DAKBUH7GH,"Inspection, Routine","1,225","Grocery Store w/ Deli (0 - 15,000 sq. ft.)",Med Risk (3),Food - Grocery,Arapahoe,Tri-County Health Department,JFE Sushi KS100,4910 S Yosemite St,Greenwood Village,CO,80111-1383,39.626553,-104.8845,2/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0010097,PR0012112,DAA0NT7NV,"Inspection, Routine","1,007","Limited Food Service (convenience, other)",Very Low Risk (1),Food - Restaurants,Douglas,Tri-County Health Department,Donut House The,558 E Castle Pines Pkwy Unit B3,Castle Pines,CO,80108,39.47087,-104.8757,2/19/2020,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3
FA0010809,PR0012321,DAVQ221LW,"Inspection, Routine","1,005","No fee license (K-12 schools, non-profit)",Med Risk (3),Food - Institutions,Adams,Tri-County Health Department,Adams County Head Start Kitchen,11860 Pecos St,Denver,CO,80234-2740,39.911133,-105.0035,11/22/2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA0000057,PR0012072,DAATTJ1UL,"Inspection, First Operational","1,007","Limited Food Service (convenience, other)",Very Low Risk (1),Food - Grocery,Arapahoe,Tri-County Health Department,SM Marts LLC,250 E Dry Creek Rd Unit 201,Littleton,CO,80122,39.580577,-104.9853,5/31/2019,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
